Section,Age,Hot_Or_Cold,Ancestry,Technical_Talent,Learning_Process,Learning_Approach,Early_Adapter,Test_Group,Knowledge_Recall,Procedural_Knowledge,Application_and_Problem_Solving,Analysis_and_Evaluation,Total
Excel,20,3,I prefer not to say,5,Auditory,Observation and Imitation,Yes,Reviewing with a friend,0.25,0.333333333,0.5,0.666666667,1.75
Excel,18,3,Asian,4,Visual,Observation and Imitation,Yes,Reviewing with AI,0.833333333,0,0.5,0.666666667,2
Excel,21,3,Asian,3,Visual,Experiential learning,Yes,Reviewing with the internet,0.833333333,0,0.5,1,2.333333333
Excel,23,2,Hispanic or Latino,3,Visual,Experiential learning,No,Contemplating,1,0,0,0.666666667,1.666666667
Excel,20,2,Asian,3,Visual,Observation and Imitation,No,Reviewing with a friend,0.75,0.333333333,1,0.666666667,2.75
Excel,21,5,Western European,4,Visual,Collaborative learning,Yes,Reviewing with the internet,0.333333333,0.666666667,0.5,0.666666667,2.166666667
Excel,19,3,Hispanic or Latino,2,Visual,Observation and Imitation,Yes,Contemplating,0.833333333,0.333333333,0.5,1,2.666666667
Excel,21,3,Asian,4,Visual,Observation and Imitation,Yes,Free,0.5,0.666666667,0.5,1,2.666666667
Excel,20,3,Asian,3,Visual,Collaborative learning,Yes,Contemplating,0.75,0.333333333,0,1,2.083333333
Excel,20,4,Western European,4,Visual,Collaborative learning,Yes,Reviewing with AI,0.666666667,0,0.5,0.666666667,1.833333333
Excel,20,3,Asian,3,Visual,Observation and Imitation,Yes,Reviewing with the internet,0.5,0.333333333,0.5,0.333333333,1.666666667
Excel,20,3,Asian,4,Kinesthetic (physical activity),Observation and Imitation,No,Reviewing with AI,0.833333333,0.333333333,0.5,1,2.666666667
Excel,22,3,Hispanic or Latino,4,Visual,Observation and Imitation,Yes,Reviewing with a friend,0.333333333,0,0.5,1,1.833333333
Excel,20,3,Western European,3,Visual,Experiential learning,Yes,Reviewing with the internet,0.5,0,1,0.666666667,2.166666667
Excel,22,3,Asian,4,Kinesthetic (physical activity),Experiential learning,Yes,Free,0.416666667,0,0,0.666666667,1.083333333
Excel,32,3,Hispanic or Latino,3,Visual,Observation and Imitation,Yes,Reviewing with a friend,0.75,0,0.5,1,2.25
Excel,19,3,Asian,4,Visual,Experiential learning,No,Contemplating,0.416666667,0.333333333,0,1,1.75
Excel,24,3,Western European,3,Kinesthetic (physical activity),Observation and Imitation,No,Reviewing with AI,0.666666667,0.333333333,0.5,0.666666667,2.166666667
